INSEE;lon;lat
200072312;1.45;49.14
241800424;2.59;46.88
200042174;-3.29;47.85
200039865;6.15;49.10
200067965;2.82;49.37
243301405;-0.80;44.54
200070571;2.11;47.11
247000722;6.70;47.59
200090561;2.06;47.22
200070332;5.63;47.85
200054807;5.34;43.49
246000871;2.89;49.18
200072320;0.58;43.47
200068872;1.58;46.58
200006716;3.51;48.49
200071496;3.05;46.51
200058519;2.11;48.92
200042182;-0.24;48.41
245500327;5.51;48.92
200069722;1.64;49.85
200023075;6.85;47.28
247103864;4.14;46.27
200070340;6.88;45.27
200071017;4.38;47.42
200070589;6.29;48.79
200070100;2.37;47.73
243400819;3.44;43.41
200069953;1.67;48.54
243000643;4.35;43.82
200068880;1.89;46.95
244200622;4.49;45.32
200040178;7.93;48.92
242101434;4.65;47.80
246000855;2.80;49.57
200068856;0.75;48.58
200068641;1.26;43.48
200067973;2.26;49.27
243600343;1.18;46.81
241200906;3.20;43.95
200069730;1.59;49.54
200071223;2.13;50.00
243301439;-0.44;44.75
200059889;1.82;48.98
248600413;0.57;46.82
200039204;-0.67;43.43
200033181;1.52;48.42
243300316;-0.64;44.88
240700617;4.27;44.55
200070159;1.75;48.22
241300375;4.84;43.75
200043016;0.18;46.01
200067304;3.69;48.01
200072130;2.89;48.97
242101442;4.21;47.33
241600303;-0.04;45.79
242900835;-3.78;48.56
241800457;2.21;46.97
241700434;-1.06;46.15
200034833;0.80;44.79
200068625;6.55;43.99
247000755;6.42;47.82
200023299;6.51;45.38
200067783;7.40;48.87
244800470;3.27;44.57
200059400;0.89;45.86
200067544;2.25;46.25
200057990;2.27;48.93
246900625;4.59;45.81
200070167;1.04;48.39
246600415;2.62;42.65
240800920;4.79;49.38
244000691;-0.93;44.02
200071470;3.68;46.40
241700640;-0.97;45.64
200068864;7.41;48.62
248500191;-2.23;46.98
200000800;2.04;47.60
242900801;-4.21;48.40
NR;-3.48;47.57
200067791;1.60;42.99
243301447;-0.67;45.02
200067551;6.39;46.31
241500255;2.68;45.28
200067767;5.35;44.95
200034601;3.58;44.09
200070373;0.49;47.77
200043065;1.00;47.44
200057974;2.22;48.82
246500482;0.17;43.01
246600423;2.48;42.78
244200895;4.69;45.41
245901038;3.50;50.21
242504181;6.41;47.17
200043628;0.37;46.45
241800432;2.90;46.83
240200600;4.12;49.88
200035723;5.36;44.07
200068674;5.89;45.75
200071298;1.70;43.44
200071041;4.03;48.04
200069763;0.15;46.68
241501139;2.42;45.12
200069524;-0.69;49.06
200071058;3.20;43.51
200090579;5.64;46.48
200070142;1.41;49.38
200057982;2.21;48.88
246800726;7.37;48.08
200033173;2.00;48.71
200069995;-0.87;45.24
243000684;4.59;43.94
246000897;2.66;49.40
246200844;2.08;50.91
200068682;5.90;48.21
200042190;3.40;50.38
241500230;2.47;44.95
245600440;-3.23;47.73
200068658;5.14;48.15
200059871;1.22;41.96
242900629;-4.53;48.04
200069748;-0.42;46.52
200034825;1.86;46.18
241100593;2.99;43.14
200069532;0.17;49.07
200071025;5.64;43.99
200035970;1.95;49.11
200066918;4.06;44.15
247100647;5.27;46.87
200035731;3.97;46.09
247700107;2.98;48.35
200043602;3.00;42.52
244200630;4.19;45.94
245501259;5.38;49.50
247200629;0.04;47.89
240700864;4.60;44.40
